	Perimeter  [mm]	Feret Max [mm]	Feret Min [mm]	Feret PerpMin [mm]	Feret MaxAng [rad]	Feret MinAng [rad]	Radius Max [mm]	Radius Mean [mm]	Radius Min [mm]	Radius StdDev [mm]	Roundness  []	PodczeckShapes Square []	PodczeckShapes Circle []	PodczeckShapes Triangle []	PodczeckShapes Ellipse []	PodczeckShapes Elongation []	Convexity  []	Center dim0 [mm]	Center dim1 [mm]	SolidArea  [mm]	Size  [mm²]	ConvexPerimeter  [mm]
1_out	65.21810525623957	21.023888771525545	20.300408578786048	20.860135766861905	-1.673210007107896	0.2880554470506258	10.540077668831639	10.285402798991736	10.096894231834622	0.11101879758250227	1.0	0.7848205323496722	0.9724518868119355	1.5696410646993444	0.9992645373077047	3.1020952386587033	0.9941534525528627	11.924852545459725	12.172433631912902	285529.0	332.3473850383506	64.83680450944657
1_in	51.020002593143275	16.210465301138164	16.00087982956554	16.17146490237541	2.707126965298891	4.71238898038469	8.11913474025429	8.047220703779043	7.948500102179841	0.028013796773466472	1.0	0.7860156720916215	0.9902294196480416	1.572031344183243	1.000786236488639	3.1473496685848414	0.9937804488905978	11.918386079257356	12.182391119843807	174736.0	203.3875811986216	50.70268107941339
2_out	66.89082836319857	20.860343516113247	20.57255978086998	20.709027839117873	2.0519988257416126	0.0	10.461021950825332	10.321068337694433	10.205801769952705	0.039549661514900115	1.0	0.7855232350056418	0.9935684108877065	1.5710464700112836	1.0001592461174755	3.2066024373726054	0.9730677170761959	11.996108235396369	12.096216833944274	287518.0	334.66252272608557	65.08930564871328
2_in	52.02543101228463	16.04479341953293	15.69229684522392	15.954403510940487	-1.7698599418116339	3.113028995751033	8.030152576783923	7.901289975076518	7.788705482123417	0.05239183422339205	1.0	0.7831285899488466	0.9807292787192609	1.5662571798976932	0.9971102893355593	3.242511738976263	0.9582866152170838	11.974211717190167	12.12392717045982	168462.0	196.0650416342472	49.855274189972135
3_out	67.60343044635452	20.869269326660362	20.572283427488493	20.734873691678136	-2.3434784126216672	2.9319528077155805	10.45963503241823	10.303361088678283	10.137977951569031	0.04385559070194213	1.0	0.7818395544052436	0.9876631757615975	1.563679108810487	0.9954690383068748	3.2393769704237587	0.9613074724523354	11.998118477692561	12.051978072659663	286523.0	333.50437189687676	64.98768285149232
3_in	51.6912548546501	15.903140503103572	15.69382669850778	15.7961777421937	-2.416910046725626	0.0	7.998271816972393	7.86802184697494	7.7213934111711655	0.03542433485734047	1.0	0.7845055873790966	0.9923914189669677	1.5690111747581932	0.9988635369167524	3.2503803160490414	0.9604490644695991	11.990050731109802	12.073213149155645	167098.0	194.48087753519877	49.64681736640831
4_out	72.89098771421284	20.92822324431287	20.529840870370474	20.722835849175368	-2.5793645309501843	-0.7853981633974483	10.485330515038155	10.27613076180098	10.093524900199602	0.06952937607505756	1.0	0.7797797291141423	0.9835998551625612	1.5595594582282846	0.9928463872909989	3.482903773688508	0.8935540345968515	12.112594875830826	12.000880874507857	285014.0	331.7467761661177	65.13203615778441
4_in	52.57106442617427	16.031439569305135	15.69382669850778	15.932645800441597	-2.9467012621281747	4.71238898038469	8.034143920670532	7.878809299880116	7.746546062447502	0.05554162907636867	1.0	0.7797830742016572	0.9779685167854466	1.5595661484033143	0.9928506463887036	3.279247892798744	0.946774689606917	12.118080759219835	11.948595289196737	167537.0	194.9802209580436	49.77295320439638
5_out	66.77998218288671	20.885772020033137	20.52640146705084	20.805358233175212	-2.435978420546074	2.6516353273360647	10.466061317832786	10.30797831645499	10.186618764173918	0.05230518643812861	1.0	0.7815648586964014	0.9817767961441007	1.5631297173928027	0.9951192848676078	3.197391129177937	0.9748884165511595	12.061242156474899	12.027061489656502	286755.0	333.77441309524505	65.10303108758907
5_in	51.31907234279353	15.934252944909733	15.724389721672463	15.920786208929455	-2.008587630436443	2.761086276477428	8.006578410980337	7.8885864101894345	7.761063775090787	0.04460686352804472	1.0	0.7808696951516897	0.981969447961923	1.5617393903033794	0.9942341751524226	3.2206763957005986	0.9700900765790351	12.054280594342707	12.020019350136208	167952.0	195.4865482049841	49.78412281898562
